"links";"titles";"abstracts"
"?q=%22school+failure%22+AND+Chile&id=EJ905926";"The Construction of Parents and Teachers as Agents for the Improvement of Municipal Schools in Chile";"This article examines how teachers and parents in 10 municipal schools serving students growing up under conditions of social vulnerability represented themselves, and others, as valid agents for charting school improvement. In four schools parents and teachers saw each other as trustworthy and collaborating to provide an education that could…"
"?q=%22school+failure%22+AND+Chile&id=ED172469";"Special Education for the Learning Disabled in Chile.";"The paper focuses on the growth and development of special education for learning disabled children in Chile with particular emphasis on the contribution of child psychiatry and pediatric neurology departments of hospitals and the contribution of universities in training specialists. Initial sections provide a background on primary education in…"
"?q=%22school+failure%22+AND+Chile&id=ED321053";"Latin America and the Caribbean: A Major Project for Literacy. Literacy Lessons.";"The overall illiteracy rate has been in sharp decline in Latin America, falling from 27.3 percent in 1970 to 17.3 percent in 1985. However, the total number of illiterate people has remained practically stable over the same period. Overall literacy rates tend to increase with the rurality of the population, the proportion of women, the absence of…"
"?q=%22school+failure%22+AND+Chile&id=ED238534";"Preventing School Failure: The Relationship between Preschool and Primary Education. Proceedings of a Workshop on Preschool Research (Bogota, Colombia, May 26-29, 1981).";"This volume consists mainly of presentations made at a seminar held in 1981 in Bogota, Colombia, on the relation between preschool education and early childhood education. The seminar brought together educational researchers from many regions of the world as well as specialists in several different disciplines. Encompassing nine investigations…"
"?q=%22adult+education%22+AND+Chile&ff1=pubReports+-+Research&pg=1&id=EJ1121663";"Juvenile Offenders: Characteristics and Reasons Why They Drop Out of Regular Education, in Valparaiso Region";"In Chile, adult education has drastically transformed in recent decades, both in the curriculum reform and in the age of their students. Today, users of this education are no longer working adults who need to complete their studies to work, but they are mostly young teenagers who dropped out of regular education. The problem is that because their…"
"?q=%22adult+education%22+AND+Chile&ff1=pubReports+-+Research&pg=1&id=EJ1190353";"Stitching Together an Arts-Based Inquiry with Indigenous Communities in Canada and Chile";"Community-based research and learning can never be prescribed. The study entitled \"Intergenerational Learning in Indigenous Textile Communities of Practice,\" funded by the Social Sciences and Humanities Research Council, illustrated this point in many ways. Although it was conceived as community-based research, it was not initially…"
"?q=%22adult+education%22+AND+Chile&ff1=pubReports+-+Research&pg=1&id=EJ1126740";"The Drive to Influence";"At the heart of the educational vocation is a drive to influence, to meaningfully affect the learning and development of others. For adult educators working in higher education, daily activities--from teaching classes to supervising student research to attending faculty meetings to sitting on advisory boards--are full of opportunities to…"
"?q=%22adult+education%22+AND+Chile&ff1=pubReports+-+Research&pg=1&id=ED573008";"Disrupting Adult and Community Education: Teaching, Learning, and Working in the Periphery";"This groundbreaking book critiques the boundaries of where adult education takes place through a candid examination of teaching, learning, and working practices in the social periphery. Lives in this context are diverse and made through complex practices that take place in the shadows of formal systems: on streetscapes and farms, in vehicles and…"
"?q=%22adult+education%22+AND+Chile&ff1=pubReports+-+Research&pg=1&id=EJ1202019";"Comparing Graduate Student Civic Engagement Outcomes in Chile among Private For-Profit and Public Universities";"This mixed-methods research examined civic engagement in Chilean public and private for-profit universities and its representation among study volunteers. Focus groups of graduate students along with in-person interviews with university administrators were conducted. The study also used an online survey, which was completed by 202 participants who…"
"?q=%22adult+education%22+AND+Chile&ff1=pubReports+-+Research&pg=1&id=EJ981231";"Evaluating Entrepreneurship Education Programmes in Developing Countries: Lessons from Experience";"Although a great deal of time, resources and effort goes into the education of potential or existing entrepreneurs, our knowledge of the effects of this education is still rather limited. It can be argued that an imbalance exists between the substantial amount of finance and manpower invested in entrepreneurship education programmes and the very…"
