"links";"titulos";"abstrac"
"http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-50062018000600003&lang=pt";"Diseño e Implementación de un Modelo de Gestión en Docencia Universitaria: Caso Carreras de Ingeniería de la Universidad Arturo Prat, Chile";"|                                                                                                                      |                                                                                                                                                                                                                                                                                                                                                                         Resumen: Se propone un modelo para la modernización de la Gestión en Docencia Universitaria. Se analiza el caso de las carreras de Ingeniería de la Facultad de Ingeniería y Arquitectura, Universidad Arturo Prat. Históricamente estas carreras habían alcanzado bajo desempeño en indicadores de reprobación, deserción y titulación oportuna, afectando sus procesos de acreditación desde el 2011. Lo anterior motiva una revisión en las carreras, para realizar seguimiento e intervenciones oportunas desde la cohorte 2013. Resultado, es el diseño e implementación de un Modelo de Gestión Docente, con bases en Análisis Modular de Sistemas, Gestión del Conocimiento, Sistémica Cibernética y Sociológica. El Modelo propuesto representa tres Módulos (ámbitos), de repercusión decisional: (1) De Entrada: Selección y Matrícula, (2) De Proceso: Aprobación y Deserción y (3) De Salida: Titulación y Empleabilidad. Su implementación genera incremento de 14 puntos porcentuales en Retención y 21 puntos porcentuales en Aprobación de primer año al 2016.                                        Abstract: A model is proposed for the modernization of graduate education management. The case of the Engineering Programs of the Faculty of Engineering and Architecture of the Arturo Prat University is analyzed. Historically, these programs reached low performance in reprobation, desertion, and timely graduation indicators, affecting appropriate monitoring and intervention processes since 2013 student cohort. The result is a design and execution of an Educational Management Model, with basis in System modular analysis, knowledge management, Cybernetic and Sociological Systemic. The proposed model represents three modules (areas) of decisional repercussion: (1) Input: Selection and registration, (2) Processing: Approbation and Desertion and Output: Graduation and Employment. Its execution generates a 14 percent increase in retention and 21 percent increase in freshmen approbation at 2016."
"http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-50062018000600107&lang=pt";"Deserción Universitaria: Nuevo Análisis Metodológico";"|                                                                                                                      |                                                                                                                                                                                                                                                                                                                                                                         Resumen: El presente artículo propone un nuevo indicador para medir la deserción por departamento y por carrera de programas universitarios, denominado Índice Geométrico de Deserción. Además, se define un parámetro denominado permanencia, que mide el porcentaje que representa la cohorte en cada año de permanencia en el sistema. Los resultados indican que el departamento tiene una deserción en crecimiento sostenido, lo que preocupa a los directivos de la institución. Todas las carreras tienen una deserción que tiende al crecimiento excepto las carreras C1 y C3. Es necesario revisar los resultados y reflexionar sobre la tendencia al alza del IGD y analizar sus causas, para el desarrollo de políticas que logren revertir esta tendencia.                                        Abstract: This article proposes a new indicator to measure desertion from university programs classified by departments and by careers, indicator called Geometric Dropout Index. In addition, a parameter called permanence is defined, which measures the percentage that the cohort represents in each year of permanence in the system. The results indicate that the department has a steady growing dropout, which worries the directors of the institution. All programs have a dropout that tends to grow except for career C1 and C3. It is necessary to review the results and reflect on the upward trend of the IGD and analyze its causes for the development of policies that reverse this trend."
"http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-45652018000200137&lang=pt";"Más allá de la deserción: trayectorias académicas en la educación superior en Chile";"|                                                                                                                      |                                                                                                                                                             Abstract This research addresses the dynamics of graduation, retention, desertion and readmission in higher education in Chile, from 2007 to 2015. Characteristics and behavior patterns appeared, differentiated by the distinct trajectories. This study confrms previous findings on desertion and graduation and offers the unprecedented contribution of exploring academic trajectories of readmitted students. We present descriptive statistics and multinomial logistic regression models to evaluate the influence of socioeconomic and educational factors on the diverse trajectories in higher education. We observe that about half of college dropouts re-enter the higher education system, and we note high rates of graduation among readmitted students. Moreover, over half of readmitted students change their area of study. These results indicate that the inclusion of readmittance as a possible academic trajectory, challenges the idea that desertion equates to “academic failure”, and thus requires greater complexity in the theoretical and methodological frameworks on desertion, to revisit the mismatch hypothesis and an increased recognition of the importance of information, career orientation, and to refect on how public policies address desertion in higher education.                                        Resumen Este estudio analiza las dinámicas de titulación, permanencia, deserción y reingreso a la educación superior en Chile, utilizando información entre los años 2007 y 2015. Se revelan características y patrones de comportamiento diferenciados según las diversas trayectorias. Se confirman los resultados de estudios previos sobre deserción y titulación, mientras que se hace una contribución inédita al explorar las trayectorias de los estudiantes que reingresan. Se presentan estadísticas descriptivas y modelos de regresiones logísticas multinomiales para evaluar la influencia de factores socioeconómicos y educativos en las diversas trayectorias en la educación superior. Se observa que cerca de la mitad de los desertores reingresa a la educación superior, mostrando importantes tasas de titulación entre estudiantes reingresantes. Además, más de la mitad de quienes reingresan se cambia de área de estudios. Estos resultados muestran que la inclusión del reingreso entre las trayectorias posibles obliga a reconsiderar la idea de que la deserción es un mero “fracaso académico”. Esto exige sofisticar los marcos teóricos y empíricos, revisitar la teoría de la mismatch hypothesis y relevar la importancia de la información, de la orientación vocacional y reflexionar sobre el modo en que las políticas públicas abordan la deserción en la educación superior."
"http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022018000100460&lang=pt";"Modelo de predicción de la deserción estudiantil de primer año en la Universidad Bernardo O´Higgins";"|                                                                                                                      |                                                                                                         |                         e                                                                                                                                                                                                                                                                         |                                                                                                                      |                                                                                                         |                         e                                                                                                                Resumen El presente estudio tiene como objetivo modelar un sistema predictivo de retención de los estudiantes de primer año de la Universidad Bernardo O´Higgins - UBO (Santiago de Chile), determinando cuáles de las variables de entrada a la educación superior, ya sean estas académicas, sociales o familiares, se revelan significativas para este análisis. La construcción del modelo de investigación se sustentó en una exhaustiva revisión bibliográfica que permitió identificar variables explicativas de la deserción universitaria en el contexto nacional. Luego, a partir de la sistematización de antecedentes socioeducativos de los estudiantes de las cohortes 2014 y 2015 disponibles en los sistemas informáticos de la universidad, se consolidó una matriz tripartita con los datos asociados a las variables que emergieron del análisis de los referentes consultados. Consecuentemente, se analizó la relación de cada una de las variables explicativas del estudio con la variable control deserción estudiantil. El análisis bivariado permitió identificar diecisiete variables, significativamente asociadas con la deserción estudiantil y precisar las relaciones de dependencia con el abandono de estudios. El modelo multivariado predijo en un 86,4 % la conducta de abandono señalando siete variables categóricas independientes que, finalmente, se develan como factores relevantes del modelo predicción. Las variadas y sustentadas interpretaciones entregadas en los resultados del modelo, así como las sugerencias propuestas para mejorar el índice de retención universitaria, entregan un valor directo al estudio dirigido a optimizar uno de los indicadores más importantes vinculados a una gestión de calidad en las universidades, como es, la retención estudiantil.                                        Abstract The objective of this study is to model a retention predictive system for first-year students at Universidad Bernardo O’Higgins (Santiago de Chile), by determining which of the variables of entry into higher education, whether these are academic, social or relatives, are revealed significant for this analysis. The construction of the research model was based on a thorough bibliographic review which made possible to identify explanatory variables of university dropout in the national context. Afterwards, from the systematization of socio-educational backgrounds of the students from the 2014 and 2015 cohorts available in the university’s computer systems, a tripartite matrix was consolidated with the data associated with the variables that emerged from the analysis of the target group consulted. Consequently, we analyzed the relationship of each of the explanatory variables of the study with the variable control student desertion. The bivariate analysis allowed us to identify seventeen variables, significantly associated with student desertion and to specify dependency relations with the abandonment of studies. The multivariate model predicted abandonment behavior in 86.4%, indicating seven independent categorical variables that, finally, are revealed as relevant factors of the prediction model. The varied and sustained interpretations delivered in the results of the model, as well as the proposed suggestions to improve the university retention index, provide a direct value to the study aimed at optimizing one of the most important indicators linked to the quality management in universities, as is the student retention."
"http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-50062018000300011&lang=pt";"Factores Determinantes en la Deserción Universitaria. Caso Facultad de Ciencias Económicas y Administrativas de la Universidad Católica de la Santísima Concepción (Chile)";"|                                                                                                                      |                                                                                                                                                                                                                                                                                                                                                                         Resumen El estudio que se presenta tiene como objetivo central evaluar aquellos factores que llevan a un estudiante universitario a desertar no sólo al primer año sino también en los subsiguientes. A través de estimaciones de modelos de probabilidad logit, se encontró que los motivos que llevan a la deserción van cambiando a medida que se avanza en la carrera. Si bien existe un factor transversal, que corresponde al rendimiento académico universitario, en el primer año de carrera destacan otros factores, tales como, la región de procedencia, edad, y año de ingreso, mientras que al tercer año de carrera destacan el rendimiento académico y el financiamiento. A partir de estos resultados se pueden diseñar mejores políticas de retención estudiantil.                                        Abstract The objective of the study presented in this paper was to evaluate those factors leading a university student to leave her career, not just during the first year, but also during the following ones. By using a logit probability model, it was found that dropout’s factors change during the career. Although there is a transversal factor that explains dropout, corresponding to academic performance, during the first year others factors appear, such as hometown, age, and year of entry, whereas by the third year of study the most important factors are academic performance and funding. These results can be used to design better student retention policies."
"http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-50062018000300073&lang=pt";"Percepción de Estudiantes de Pedagogía respecto de la Autorregulación del Aprendizaje";"|                                                                                                                      |                                                                                                                                                                                                                                                                                                                                                                         Resumen En el estudio presentado en este artículo se ha descrito y analizado qué comprenden los estudiantes por autorregulación del aprendizaje, qué hacen al aplicar las distintas fases de este proceso y cuáles son las dificultades que tienen para regular su aprendizaje. Para analizar las respuestas de los estudiantes en relación con el proceso de autorregulación del aprendizaje se utiliza el modelo de Zimmerman con el objetivo de poder comparar las percepciones recogidas versus el modelo propuesto por dicho autor. La muestra estuvo compuesta por 60 estudiantes de pedagogía de una universidad en Chile. Los principales hallazgos muestran que los estudiantes relacionan el concepto de autorregulación del aprendizaje principalmente con la organización general previa al estudio y con la regulación de sus emociones. Respecto al proceso de autorregulación del aprendizaje se concluye que la fase de planificación y ejecución son incipientes, y se discuten sus causas y efectos.                                        Abstract In the study presented in this article it is described and analyzed what students understand by self-regulation of learning, what do the when applying the different phases of this process and what are the difficulties they have to do to regulate their learning. To analyze the students' answers in relation to the process of self-regulation of learning, the Zimmerman model is used in order to compare the perceptions collected versus the model proposed by the author. The sample consisted of 60 students of pedagogy from a university in Chile. The main findings show that students relate the concept of self-regulation of learning mainly with the general organization prior to the study and with the regulation of their emotions. Regarding the process of self-regulation of learning, it is concluded that the planning and execution phase are incipient, and their causes and effects are discussed."
"http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-50062018000200003&lang=pt";"Variables Sociodemográficas y Académicas Explicativas de la Deserción de Estudiantes en la Facultad de Ciencias Naturales de la Universidad de Playa Ancha (Chile)";"|                                                                                                                      |                                                                                                                                                                                                                                                                                                                                                                         Resumen: Este artículo presenta un análisis explicativo, tomando como efecto la deserción universitaria y como causas un conjunto de variables predictoras. El estudio se focalizó en los estudiantes de la Universidad de Playa Ancha, en Chile. El estudio propone como objetivo la identificación de los factores que influyen de manera significativa en el proceso de deserción de los estudiantes de la Universidad de Playa Ancha y, cuantificar el efecto individual de cada predictor en la respuesta de un modelo estadístico. Basado en la dicotomía de la variable dependiente, se utilizó un modelo logístico con función de enlace binomial. El proceso de ajuste del modelo se desarrolló en dos etapas. Primero se estimaron los efectos individuales de cada variable predictora, seleccionando de entre ellas las significativas. En segundo lugar, se descartaron aquellas con efectos no significativos propendiendo un modelo parsimonioso. SE concluye que las variables que afectan directamente a la deserción son los predictores de primer orden, Ramos Aprobados (RA), Orden de Lista (OL), Estado Civil (EC) y Educación del Padre (EP).                                        Abstract: This article presents an explanatory analysis, taking as an effect the university dropout and as causes a set of predictor variables. The study focused on students of the University of Playa Ancha in Chile. The objective of the study was the identification of the factors that significantly influence the desertion process of the students of the Playa Ancha University and quantify the individual effect of each predictor. Based on the dichotomy of the dependent variable, a logistic model with a binomial link function was used. The process of adjustment of the model was developed in two stages. First, the individual effects of each predictor variable were estimated, selecting among them the significant ones. Secondly, those having non-significant effects were discarded, following a parsimonious model. It is concluded that the variables that directly affect the dropout are the predictors of first order, Approved Branches (RA), List Order (OL), Civil Status (EC) and Parent Education (EP)"
"http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-73782018000100149&lang=pt";"Significado del Proceso de Inserción a la Vida Universitaria: Desde una Perspectiva de Aprendizaje como Práctica Social";"|                                                                                                                      |                                                                                                                                                                                                                                                                                                                                                                         RESUMEN: El presente artículo busca reflexionar en torno a la inserción universitaria, considerando el nuevo perfil de estudiantes que en los últimos años acceden a la educación universitaria en Chile. En la primera parte se describen las comprensiones y abordajes que ha tenido la temática de inserción universitaria, las que se han focalizado en la permanencia de los estudiantes en los programas de estudio, privilegiando categorías e indicadores como la retención o deserción universitaria, por sobre una comprensión de las experiencias subjetivas de los estudiantes en contextos y prácticas de aprendizajes específicos. En la segunda parte, se profundiza desde un enfoque histórico-cultural, en la experiencia de la inserción universitaria entendida como un aprendizaje y práctica social, desde donde se configura la subjetivación del estudiante universitario y sus decisiones de permanencia en el sistema educativo. Estas reflexiones fundamentan la importancia de futuras líneas de investigación en los significados de la inserción universitaria desde la perspectiva de los estudiantes.                                        ABSTRACT: The present article seeks to reflect on the university insertion, considering the new profile of students who have access to university education in Chile in recent years. In first part describes the understandings and approaches that the theme of university insertion has had, which have focused on the permanence of students in the study programs, privileging categories and indicators such as university retention or dropout, over a understanding of students' subjective experiences in specific learning contexts and practices. In the second part, we seek to deepen from a historical-cultural approach, in the experience of the university insertion understood as a learning and social practice, from where the subjectivation of the university student and his/her decisions of permanence in the educational system are configured. These reflections ground the importance of future lines of research in the meanings of the university insertion from the perspective of the students."
"http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-24782017000400231&lang=pt";"Educación de adultos en Chile: percepciones y valoraciones de sus beneficiarios";"|                                                                                                                      |                                                                                                         |                         e                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        RESUMEN El propósito del artículo es analizar las percepciones de los beneficiarios de la principal modalidad de educación de adultos en Chile respecto de su experiencia educativa. El estudio se basa en un enfoque empírico analítico, y diseño no experimental. La muestra cuantitativa se obtuvo por conglomerados representativos de centros educativos de Santiago de Chile y permitió encuestar a 252 individuos que asisten a la modalidad regular. La muestra cualitativa consideró 30 estudiantes que fueron abordados por la vía de entrevistas estructuradas. Los resultados confirman que esta población proviene de grupos con bajo nivel socioeconómico, con historial de fracaso escolar reiterado, y que la representación del fracaso escolar la asocian a desempeños individuales más que a factores de contexto. Es por ello que el fracaso es percibido como un acto de irresponsabilidad, aun cuando los antecedentes muestran que el fenómeno es multicausal, donde intervienen factores externos e internos al sistema escolar.                                        ABSTRACT The purpose of this paper is to analyze the perceptions and assessments of the beneficiaries of the main modality of adult education in Chile with regard to their educational experience. The study is based on an analytical empirical approach, and non-experimental design. A quantitative representative sample was obtained by clusters of schools in Santiago de Chile and allowed to survey 252 individuals attending the regular modality. The qualitative sample considered 30 students who were approached through structured interviews. The results confirm that this population comes from lower socioeconomic groups, with a history of repeated academic failure, but also support the conclusion that the representation of school failure is associated with individual performances rather than contextual factors. School failure is presented as an act of personal irresponsibility, even though the antecedents show it is a multicausal phenomenon, where external and internal factors intervene in the school system.                                        RESUMO O objetivo do trabalho é analisar as percepções e avaliações dos beneficiários do principal sistema de educação de adultos no que diz respeito à sua experiência educacional. O estudo baseia-se numa abordagem empírico-analítica de design não experimental. A amostra quantitativa foi obtida por agrupamentos, representativos de centros educativos da cidade de Santiago do Chile, e permitiu o levantamento de 252 casos. A amostra qualitativa considerou 30 alunos que foram abordados por meio de entrevistas estruturadas. Os resultados confirmam que essa população vem de grupos com baixo nível socioeconômico, com um histórico de insucesso escolar repetido, no qual a consequência do fracasso escolar é associada aos desempenhos individuais, em vez de a fatores externos. Por isso o fracasso é assumido como um ato de irresponsabilidade pessoal, mesmo quando os antecedentes mostram que o fenômeno é multicausal, em que intervêm fatores externos e internos ao sistema escolar."
"http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1794-31082017000300193&lang=pt";"Características psicosociales asociadas a mujeres adolescentes víctimas de explotación sexual comercial, que ingresaron a un centro de atención en la región de Los Lagos, Chile";"|                                                                                                                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     Resumen Este estudio tiene como objetivo caracterizar las principales variables psicosociales presentes en un grupo de mujeres adolescentes víctimas de explotación sexual comercial, que ingresaron a un centro de atención especializado en el abordaje de la temática en la región de Los Lagos, Chile. Mediante una metodología cuantitativa, se realizó un análisis retrospectivo de 121 fichas de adolescentes entre 12 y 18 años, atendidos entre los años 2009 y 2015. Como principales resultados es posible identificar variables psicosociales fuertemente presentes en la todalidad de los casos, tales como antecedentes de negligencia parental, deserción escolar, larga trayectoria de institucionalización, historial de abuso sexual, experiencia de vida en calle y consumo de alcohol y/o drogas. Asimismo, se identifican distintas configuraciones de las variables psicosociales en relación con cada modalidad local de explotación sexual comercial presente en el territorio. Se discuten las implicancias de realizar estrategias de intervención diferenciadas por modalidad de explotación sexual comercial de niños/as y adolescentes considerando el conocimiento de los equipos de trabajo de la multiplicidad de factores asociados al fenómeno en cada territorio.                                        Abstract The objective of this study is to characterize the main psychosocial variables present in a group of teenage girls victims of commercial sexual exploitation, who entered an a care center specialized in approaching the subject in the region of Los Lagos, Chile. Through a quantitative methodology system a retrospective analysis was made of 121 records of adolescents between 12 and 18 years old, taking place between years 2009 and 2015. The main results make it feasible to identify psychosocial variables that are strongly present in all cases, such as he history of parental negligence, school dropout, a long institutionalization trajectory, a history of sexual abuse, street life experiences and the consumption of alcohol and/or drugs. Likewise, different configurations of the psychosocial variables are identified in relation to each local modality of commercial sexual exploitation seen in the territory. The implications of carrying out intervention strategies having been differentiated by commercial sexual exploitation of children and teenagers are discussed, taking into consideration the work teams’ knowledge of the multiplicity of factors associated with this phenomenon in each territory.                                         Este estudo tem como objetivo caracterizar as principais variáveis psicossociais atuais em um grupo de mulheres adolescentes vítimas da exploração sexual comercial, que entraram a um centro da atenção especializado na abordagem da temática na região de Los Lagos, o Chile. Por meio de uma metodologia quantitativa, uma análise retrospectiva de 121 fichas dos adolescentes entre 12 e 18 anos, atendidos entre os anos 2009 e 2015, foi realizada. Como principais resultados é possível identificar variáveis psicossociais fortemente presentes na totalidade dos casos, tais como os antecedentes da negligência parental, o abandono escolar, longa trajetória da institucionalização, histórico do abuso sexual, experiência da vida na rua e o consumo das drogas e/ou álcool. Também, as diferentes configurações das variáveis psicossociais com relação a cada modalidade local da exploração sexual comercial presente no território são identificadas. As implicâncias de fazer as estratégias da intervenção diferenciadas pela modalidade da exploração sexual comercial de crianças e adolescentes considerando o conhecimento das equipes do trabalho da multiplicidade dos fatores associados ao fenômeno em cada território são discutidas."
